Aeg,Kasutaja päring,Filtrid,Leitud ID-d,Leitud ained,LLM Vastus,Hinnang,Veatüüp
2026-03-01 18:03:17,tahan filosoofilist ainet,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['FLFI.01.105', 'FLFI.04.060', 'FLFI.02.189', 'FLFI.01.011', 'FLFI.00.101']",[],"
Siin on mõned filosoofia kursused, mille kohta andsin sulle infot:

*   **Eksistentsifilosoofia** (FLFI.01.105): Tutvustab eksistentsifilosoofia peamisi tekste ja mõisteid (Kierkegaard, Dostojevski, Nietzsche, Heidegger, Camus, Sartre).
*   **Vaimufilosoofia** (FLFI.04.060): Sissejuhatus keha-vaimu probleemile, teadvusele, tehisintellektile, mõtlemisele ja keelele.
*   **Süvendatud sissejuhatus eetikasse ja epistemoloogiasse** (FLFI.02.189): Sügavdatud sissejuhatus kaasaegsesse eetika ja epistemoloogiasse.
*   **Esteetika** (FLFI.01.011): Uurib kunsti ja filosoofia dialoogi, keskendudes fenomenoloogiale ja modernistlikele kunstisuundadele.

Milline neist tundub Sinule kõige huvitavam?",👍 Hea,
2026-03-01 18:05:28,keemiline aine bakalaureuse astme jaoks,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LOKT.04.075', 'MVFA.00.035', 'LOKT.09.016', 'ARFA.02.112', 'LOKT.09.018']",[],"
Vabandust, aga pakutud kursuste nimekirjas ei ole otseselt filosoofilist ainet. Keemilisi aineid bakalaureuse astme jaoks on aga mitu:

*   **LOKT.04.075 Keskkonnakeemia alused II:** See kursus käsitleb keskkonnaprobleeme põhjustavate keemiliste ainete keemilisi ja füüsikalisi omadusi, analüüsi ja mõju.
*   **MVFA.00.035 Keemia alused:** See kursus korrutab ja kinnistab keemia alusteadmisi, mis on vajalikud järgnevate farmaatsiakaudiste omandamiseks.
*   **LOKT.09.016 Materjalide keemia ja puidukeemia valitud peatükke:** See kursus pakub ülevaadet erinevate materiaalide keemilisest koostisest ja omadustest.
*   **LOKT.09.018 Bioaktiivsete ühendite keemia:** See kursus keskendub bioaktiivsete ainete keemiale, nende koostisele, omadustele ja kasutamisele.
*   **ARFA.02.112 Farmatseutiline keemia II:** See kursus käsitleb orgaaniliste raviainete analüüsi ja teoreetilisi aluseid.

Kui sul on täpsemad soovid, näiteks konkreetne keemia valdkond, siis saan sind paremini aidata.",👍 Hea,
2026-03-01 18:06:46,programmeerimise aine doktoriõppes,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LTFY.05.001', 'MTAT.03.236', 'MTAT.03.236_1', 'MTAT.03.256', 'LTAT.03.018']",[],"
Vabandust, ma ei leidnud andmebaasist ühtegi filosoofiaainet.

**Keemiline aine bakalaureuse astme jaoks:**

Kahjuks andmebaasis keemiaainet ei leidu.

**Programmeerimise aine doktoriõppes:**

2684 LTAT.03.018 LTAT.03.018 Programmeerimiskeelte alused Programming Language Foundations 6.0 sügis Eristav (A, B, C, D, E, F, mi) inglise keel, eesti keel NaN bakalaureuseõpe, magistriõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe põimõpe NaN
",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 18:10:20,aine mis on seotud loomadega,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['OIEO.04.144', 'FLSE.00.260', 'LOKT.09.018', 'LOOM.04.002', 'ARFA.01.116']",[],"Siin on kursused, mis on seotud loomadega:

*   **Loomade õiguskaitse** (unique_ID: 987) – Interdistsiplinaarne kursus loomade õigusliku ja eetilise staatuse uurimiseks.
*   **Zoosemiootika: omailm ja loomade kommunikatsioon** (unique_ID: 549) – Õpe loomade kommunikatsioonist ja märgilisüsteemidest.
*   **Etoloogia** (unique_ID: 1871) – Loomade käitumise aluste uurimine.
*   **Veterinaarravimid** (unique_ID: 1264) – Ülevaade väikeloomade ravimitest ja nende kasutamisest.",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 18:11:38,3 eap ained,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['SORG.00.069', 'SORG.00.069_1', 'SVMJ.03.013', 'LTBI.00.011', 'MVCM.13.015']",[],"Sa otsid 3 EAP kursusi. Siin on need, mis vastavad sinu kriteeriumitele:

*   **SORG.00.069 Praktika / Internship:** 3.0 EAP, nii kevad- kui sügiskursusena saadaval. Praktika on valikaine, mille läbimisel on üliõpilasel võimalik saada 3 EAP. Praktika loetakse sooritanuks, kui üliõpilane on teinud erialast tööd erinevates organisatsioonides.
*   **SVMJ.03.013 Juhtimine / Management:** 2.0 EAP (ei vasta täpselt 3 EAP nõudele).
*   **LTBI.00.011 Laboratoorsed projektid / Laboratory Projects:** 6.0 EAP (jagatud kolmeks 2 EAP projektiks).
*   **MVCM.13.015 Laborimeditsiin / Laboratory Medicine:** 8.0 EAP (jagatud viieks alamooduliks).",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:13:37,programeerimine c++,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LTAT.03.025', 'MTAT.03.158', 'MTAT.03.219', 'SVNC.00.302', 'LTAT.03.001_1']",[],"
Siin on kursused, mis käsitlevad programmeerimist C++ keeles:

* **LTAT.03.025 Programmideerimine keeles C++** (Programming in C++) - 6 EAP, kevadsemester, hindamisviis Eristav. Eeldab kursuseid LTAT.05.100 või LTAT.03.001.
* **MTAT.03.158 Programmideerimine keeles C++** (Programming in C++) - 3 EAP, kevadsemester, hindamisviis Eristav.
* **LTAT.03.001_1 Programmeerimine** (Computer Programming) - 6 EAP, sügissemester, hindamisviis Eristav. See kursus annab alusteadmised programmeerimise põhikonstruktsioonidest.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:14:43,magistri aine narvas,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['MV00.00.015', 'MV00.00.015_1', 'SVJS.00.010', 'LTMR.05.004', 'MVCM.13.010']",[],"Vabandust, andmebaasis ei leidu kursusi, mis oleksid magistri tasemel ja Narvas.

Kuid pakun Sulle teavet kursuste kohta, mis on magistri tasemel Tartus:

*   **Magistritöö** (unique\_ID: 192): Magistritöö on tudengi individuaalne uurimisprojekt, mida ta arendab koostöös oma juhendajatega. Kaitstakse ühiskomisjoni ees.
*   **Nukleiinhapete keemia** (unique\_ID: 789): Kursuse loengu osas antakse tudengitele ülevaade nukleiinhapetest, nende komponentidest, keemilistest omadustest ja ologonikleotiidide keemilisest sünteesist. Praktilises osas õpivad üliõpilased puhastama rakulüsaadist RNA-valk komplekse.
*   **Nutraceutics, kodune kunstlik toitmine, toitmisalase abi rahalised aspektid** (unique\_ID: 1220): Kursus annab ülevaate, kuidas kliinilised toitmisspetsialistid saavad oma teadmisi kasutades ja rakendades kaasa aidata raviskeemide optimeerimisele.",👎 Halb,Filtrid olid liiga karmid/valed
2026-03-01 18:19:16,veebipohine aine ,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['HVLC.01.041_1', 'ARST.01.107', 'SVNC.00.310', 'SVUH.08.006', 'P2NC.01.094']",[],"Vabandust, aga sinu küsimus ei ole täielik. Sa palusid veebipõhist ainet, aga sa ei ole täpsustanud, mida sa sellega teha soovid. Kas sa soovid näha loendit veebipõhistest ainetest, saada teavet konkreetse veebipõhise aine kohta või midagi muud?

Siin on veebipõhised ained, mida ma tean vastavalt sinu andmebaasile:

*   **HVLC.01.041 Inglise keel. Üldakadeemiline sõnavara (100% e-õpe), B1.2 > B2.1**
*   **ARST.01.107 Infotehnoloogia**
*   **SVNC.00.310 Veebirakenduste loomine**
*   **SVUH.08.006 Veebiuuringud ja nende disain**
*   **P2NC.01.094 Veebirakenduste loomine**
  
Palun täpsusta oma küsimust, et ma saaksin sind paremini aidata.",👍 Hea,
2026-03-01 18:22:26,ained tallinas,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['HVKU.00.013_1', 'LTGI.00.005', 'HVVK.00.122', 'HVKU.00.013', 'SVNC.00.068']",[],"

Vabandust, aga andmebaasis ei ole piisavalt teavet, et otsingut täpsustada. Kas saaksid palun täpsustada, mida sa silmas pead ""ainete"" all? Kas sa mõtled Tallinna linnas pakutavaid kursusi? Kui jah, siis siin on need kursused, mis toimuvad Tallinnas:

*   **LTGI.00.005** Teaduspõhine ettevõtlus (Deep Tech Entrepreneurship)
*   **HVVK.00.122** SoundCamp 2025
*   **HVKU.00.013** Rakendusantropoloogia: ühiskondlikud väljakutsed ja lahendused (Applied Anthropology: Social Challenges and Solutions) (ka kevadel)
*   **SVNC.00.068** Keele- ja kultuurikohvik I (Language and Culture Cafe I)",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:23:12,"ained tallinnas
","EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['HVVK.00.122', 'HVKU.00.013_1', 'HVKU.00.013', 'LTGI.00.005', 'ARTH.04.045']",[],"
Vabandust, andmebaasis ei ole piisavalt teavet, et kursuste asukohta täpselt määrata. Siiski on nendest kursustest Tallinnas pakutava kohta järgmist teada:

*   **Teaduspõhine ettevõtlus** (LTGI.00.005) - Tallinn
*   **Rakendusantropoloogia: ühiskondlikud väljakutsed ja lahendused** (HVKU.00.013_1 ja HVKU.00.013) – Tartu linn",👍 Hea,LLM hallutsineeris/vastas valesti
